iter	RMSE
0	0.4267703581
1	0.4201356694
2	0.4128400613
3	0.4057999898
4	0.398720741
5	0.3930337066
6	0.3868806222
7	0.3817018225
8	0.3756816229
9	0.3705071565
10	0.3654603832
11	0.3604951647
12	0.3557441867
13	0.3513059743
14	0.3472556059
15	0.3432600629
16	0.3394604855
17	0.3368238583
18	0.3342416857
19	0.3309750356
20	0.3276657581
21	0.3251249071
22	0.3226028583
23	0.3203375975
24	0.3178910627
25	0.3155067316
26	0.3130686579
27	0.3112717477
28	0.3089597895
29	0.306784887
30	0.3046367206
31	0.3032032539
32	0.3012907504
33	0.3000731712
34	0.298066203
35	0.2962371987
36	0.2947373579
37	0.2935193082
38	0.2921226198
39	0.290705809
40	0.2893834263
41	0.2878777608
42	0.2872686194
43	0.2859599199
44	0.2844056254
45	0.2833088869
46	0.2821698118
47	0.2811871815
48	0.2802685546
49	0.2789774845
50	0.2783725689
51	0.277727663
52	0.2768797445
53	0.2761236076
54	0.2751602218
55	0.2744154144
56	0.2734851816
57	0.2725041052
58	0.2717802271
59	0.2711467444
60	0.2702779678
61	0.2693179228
62	0.2686800014
63	0.2679925675
64	0.2673276098
65	0.2668884895
66	0.2659814159
67	0.2651944186
68	0.26454667
69	0.2639297946
70	0.2635386977
71	0.2629698702
72	0.2623890305
73	0.2616788857
74	0.2611107454
75	0.2604397931
76	0.2597501223
77	0.2589904092
78	0.2581571229
79	0.2578164975
80	0.2575470922
81	0.2565909469
82	0.2558273419
83	0.2554349739
84	0.254766573
85	0.2542392187
86	0.2535559873
87	0.253147451
88	0.2527305084
89	0.2523155856
90	0.2516079862
91	0.2509401615
92	0.2504860417
93	0.2498837789
94	0.2492540736
95	0.2486407985
96	0.2482938762
97	0.2480528167
98	0.247691635
99	0.2473142478
100	0.247012517
101	0.246672802
102	0.2464856063
103	0.2457352296
104	0.2451735426
105	0.2448499522
106	0.2442380089
107	0.2440208678
108	0.2438235116
109	0.2433062572
110	0.2427194604
111	0.2423427123
112	0.2419421731
113	0.2416994598
114	0.2412790697
115	0.2406091683
116	0.2403200578
117	0.2398826213
118	0.2389947127
119	0.2384588357
120	0.2380663711
121	0.237305589
122	0.2368832963
123	0.2364781803
124	0.2359052262
125	0.2356805891
126	0.2354117047
127	0.2352342246
128	0.234647226
129	0.2344975795
130	0.2341653815
131	0.2339343035
132	0.2335065459
133	0.2328568391
134	0.2325812668
135	0.2323352293
136	0.2319237959
137	0.2316924504
138	0.2311875439
139	0.230925413
140	0.2304713278
141	0.2302698497
142	0.2299456967
143	0.2295530574
144	0.229345561
145	0.2287224359
146	0.2285301957
147	0.2280317886
148	0.2272385469
149	0.226823522
150	0.2267950117
151	0.2263143247
152	0.2258765208
153	0.2257010152
154	0.2255169344
155	0.2250869104
156	0.2247252034
157	0.2242460725
158	0.2238448412
159	0.2233920875
160	0.2229441228
161	0.2225817365
162	0.2222791353
163	0.2219183682
