iter	Passed	Remaining
0	2	2245
1	3	1656
2	4	1435
3	5	1326
4	7	1278
5	8	1230
6	9	1189
7	10	1151
8	11	1131
9	12	1116
10	13	1114
11	15	1138
12	16	1144
13	17	1136
14	19	1129
15	20	1116
16	21	1109
17	22	1113
18	24	1117
19	25	1127
20	27	1143
21	28	1149
22	30	1161
23	32	1183
24	33	1186
25	35	1184
26	36	1192
27	38	1196
28	39	1188
29	41	1189
30	42	1183
31	43	1185
32	45	1182
33	46	1173
34	47	1170
35	48	1168
36	49	1162
37	51	1157
38	52	1157
39	53	1153
40	54	1152
41	56	1160
42	57	1155
43	59	1158
44	60	1154
45	61	1148
46	63	1143
47	64	1141
48	66	1149
49	67	1148
50	68	1145
51	70	1142
52	71	1137
53	72	1134
54	73	1131
55	75	1136
56	76	1132
57	77	1131
58	79	1132
59	80	1133
60	82	1129
61	83	1128
62	85	1129
63	86	1128
64	87	1126
65	88	1122
66	90	1124
67	91	1120
68	92	1116
69	93	1111
70	94	1107
71	96	1106
72	97	1104
73	98	1104
74	100	1101
75	101	1097
76	103	1101
77	104	1098
78	105	1097
79	106	1095
80	108	1094
81	109	1094
82	110	1091
83	112	1088
84	113	1086
85	114	1084
86	115	1081
87	117	1080
88	119	1087
89	120	1087
90	122	1085
91	123	1084
92	124	1082
93	126	1086
94	128	1085
95	129	1085
96	130	1082
97	131	1079
98	133	1082
99	135	1080
100	136	1077
101	137	1073
102	138	1073
103	140	1073
104	141	1071
105	142	1068
106	143	1066
107	145	1068
108	146	1066
109	148	1063
110	149	1061
111	150	1058
112	151	1055
113	152	1054
114	154	1051
115	155	1048
116	156	1045
117	157	1042
118	158	1040
119	159	1037
120	160	1035
121	162	1034
122	163	1031
123	164	1029
124	165	1028
125	167	1026
126	168	1024
127	169	1021
128	170	1018
129	179	1065
130	197	1157
131	198	1155
132	200	1155
133	207	1187
134	209	1184
135	210	1183
136	212	1180
137	213	1178
138	215	1178
139	216	1177
140	218	1177
141	220	1176
142	223	1181
143	224	1178
144	225	1175
145	226	1172
146	228	1168
147	229	1167
148	231	1164
149	232	1161
150	232	1153
151	233	1150
152	234	1146
153	236	1143
154	237	1141
155	238	1137
156	239	1135
157	241	1133
158	243	1134
159	245	1133
160	246	1133
161	248	1130
162	249	1126
163	250	1123
164	251	1121
165	253	1119
166	254	1116
167	255	1113
168	256	1110
169	258	1108
170	259	1106
171	261	1105
172	262	1102
173	263	1100
174	265	1098
175	266	1096
176	267	1093
177	268	1089
178	269	1086
179	270	1083
180	272	1081
181	273	1078
182	275	1078
183	276	1075
184	277	1072
185	278	1069
186	279	1067
187	281	1064
188	282	1062
189	284	1062
190	285	1059
191	286	1057
192	287	1054
193	289	1051
194	290	1051
195	292	1049
196	293	1046
197	294	1044
198	295	1041
199	296	1038
200	297	1035
201	299	1033
202	300	1031
203	301	1029
204	302	1026
205	304	1025
206	305	1023
207	307	1022
208	308	1020
209	309	1018
210	311	1015
211	312	1013
212	313	1011
213	314	1009
214	316	1008
215	317	1005
216	318	1003
217	320	1001
218	321	998
219	322	996
220	323	993
221	324	991
222	326	990
223	327	988
224	328	986
225	330	984
226	332	986
227	333	984
228	335	982
229	336	980
230	337	978
231	338	975
232	340	973
233	341	970
234	342	968
235	343	966
236	344	964
237	347	965
238	348	964
239	349	961
240	350	959
241	352	957
242	353	955
243	354	953
244	356	951
245	357	949
246	358	947
247	359	945
248	361	944
249	362	942
250	363	940
251	364	938
252	365	935
253	367	933
254	368	932
255	369	930
256	372	931
257	374	932
258	375	930
259	377	929
260	378	927
261	380	925
262	381	923
263	382	921
264	384	920
265	385	918
266	386	916
267	388	915
268	389	914
269	390	912
270	392	909
271	393	908
272	394	906
273	396	905
274	397	903
275	398	900
276	399	898
277	400	896
278	401	894
279	403	893
280	404	891
281	405	889
282	407	887
283	408	885
284	410	885
285	411	884
286	413	882
287	414	880
288	416	880
289	417	878
290	418	876
291	420	874
292	421	873
293	422	871
294	423	869
295	425	867
296	426	866
297	427	864
298	429	862
299	431	862
300	432	860
301	433	858
302	434	856
303	435	854
304	436	852
305	438	850
306	439	848
307	440	846
308	441	844
309	442	842
310	443	840
311	445	840
312	447	838
313	448	837
314	450	836
315	451	834
316	452	832
317	453	830
318	455	829
319	456	827
320	457	825
321	459	823
322	460	823
323	462	821
324	463	820
325	464	818
326	465	816
327	467	814
328	468	812
329	469	810
330	470	809
331	471	807
332	473	805
333	474	803
334	475	801
335	476	799
336	477	797
337	478	795
338	480	794
339	481	793
340	483	792
341	484	790
342	485	789
343	487	787
344	488	786
345	490	784
346	491	782
347	492	780
348	493	778
349	494	777
350	495	775
351	496	773
352	497	771
353	499	769
354	500	768
355	501	766
356	503	765
357	504	763
358	505	761
359	506	760
360	508	758
361	509	756
362	510	754
363	510	751
364	511	749
365	512	747
366	513	746
367	514	744
368	515	742
369	517	741
370	518	739
371	519	737
372	521	736
373	522	734
374	523	732
375	524	730
376	525	728
377	526	727
378	527	725
379	528	723
380	530	722
381	531	720
382	532	718
383	533	716
384	534	715
385	536	713
386	537	712
387	538	710
388	539	708
389	540	707
390	541	705
391	542	703
392	543	701
393	545	699
394	546	698
395	547	696
396	548	694
397	549	693
398	551	692
399	552	690
400	553	688
401	554	686
402	555	685
403	556	683
404	557	681
405	558	680
406	560	678
407	561	676
408	562	675
409	563	673
410	564	671
411	565	670
412	567	668
413	568	667
414	569	665
415	570	663
416	571	661
417	572	660
418	573	658
419	574	656
420	575	655
421	576	653
422	577	651
423	578	649
424	580	648
425	581	647
426	582	645
427	583	643
428	585	642
429	586	640
430	587	638
431	588	637
432	589	635
433	590	634
434	591	632
435	592	631
436	593	629
437	595	627
438	596	625
439	597	624
440	598	622
441	599	621
442	601	620
443	602	618
444	603	616
445	604	615
446	605	613
447	606	612
448	607	610
449	608	608
450	610	607
451	611	605
452	612	604
453	613	602
454	614	600
455	615	599
456	616	597
457	617	596
458	618	594
459	619	592
460	620	591
461	621	589
462	622	587
463	623	586
464	624	584
465	625	583
466	627	581
467	627	579
468	628	578
469	630	576
470	631	574
471	632	573
472	633	571
473	634	570
474	635	568
475	636	567
476	637	565
477	638	564
478	639	562
479	641	560
480	642	559
481	643	557
482	644	556
483	645	554
484	646	553
485	647	551
486	648	550
487	649	548
488	650	546
489	651	545
490	652	543
491	653	542
492	654	540
493	656	539
494	657	537
495	658	535
496	659	534
497	660	532
498	661	531
499	662	529
500	663	528
501	664	526
502	665	525
503	666	523
504	667	522
505	668	520
506	669	519
507	670	517
508	671	516
509	672	514
510	674	513
511	675	511
512	676	510
513	677	508
514	678	507
515	679	505
516	680	504
517	681	502
518	682	501
519	683	499
520	685	498
521	686	496
522	687	495
523	688	493
524	689	492
525	690	491
526	691	489
527	692	488
528	693	486
529	694	485
530	696	483
531	697	482
532	698	481
533	699	479
534	700	478
535	701	476
536	703	475
537	704	473
538	705	472
539	706	470
540	707	469
541	708	467
542	709	466
543	710	465
544	711	463
545	712	462
546	714	460
547	715	459
548	716	457
549	717	456
550	718	454
551	719	453
552	720	452
553	721	450
554	723	449
555	724	448
556	725	446
557	726	445
558	727	443
559	728	442
560	729	440
561	730	439
562	731	438
563	733	436
564	734	435
565	735	433
566	736	432
567	737	431
568	738	429
569	739	428
570	741	426
571	742	425
572	743	424
573	744	422
574	745	421
575	746	419
576	747	418
